"soldPrice","sqftLiving","sqftLand","sqftAbove","sqftBasement","numBedRooms","numBathRooms","numFloors","builtYear","grade","waterFront","condition"
252350,1650,7352,1160,490,3,2,"1",1979,"2","0","average"
330000,1220,10000,1220,0,2,1,"1",1950,"2","0","excellent"
365000,1940,25600,1940,0,4,2,"1",1962,"2","0","average"
352000,940,5000,940,0,2,1,"1",1937,"2","0","good"
450000,1290,1213,1290,0,3,2,"3",2001,"2","0","average"
278500,1570,5250,1570,0,3,2,"1",1998,"2","0","average"
517534,833,143947,833,0,2,1,"1",2006,"1","0","average"
482000,950,3960,950,0,2,1,"1",1941,"2","0","average"
375000,940,5120,940,0,2,1,"1",1909,"2","0","average"
1300000,2350,15021,1770,580,3,2,"1",1976,"2","0","good"
397000,1440,7680,1200,240,4,2,"1",1971,"2","0","average"
328500,2290,8250,2290,0,4,3,"2",1990,"2","0","average"
988000,4040,19700,4040,0,4,3,"2",1987,"3","0","average"
438000,1270,1372,1270,0,2,2,"3",2000,"2","0","average"
641000,1420,5332,1070,350,2,1,"1",1953,"2","0","average"
205000,940,7980,940,0,3,1,"1",1960,"2","0","good"
505000,1260,5460,1260,0,3,2,"1",1972,"2","0","average"
232000,1400,10403,1400,0,3,1,"1",1976,"1","0","good"
705000,1970,20978,1770,200,3,3,"2",1980,"2","1","good"
230000,1510,3413,1510,0,3,2,"2",1985,"2","0","average"
330000,980,7000,980,0,3,1,"1",1953,"1","0","average"
340500,2270,28025,1920,350,3,2,"1",1947,"2","0","good"
290900,1610,17600,1610,0,2,2,"2",1930,"1","0","average"
315000,630,6550,630,0,2,1,"1",1918,"1","0","average"
849950,2990,9773,2990,0,3,3,"2",1973,"2","0","good"
207950,890,5000,890,0,2,2,"1",1917,"1","0","average"
370000,1680,5036,1680,0,3,2,"1",1987,"2","0","good"
397500,1510,6710,1070,440,3,2,"1",1972,"2","0","average"
725000,2110,4140,1710,400,4,2,"2",1925,"2","0","average"
475000,1490,3825,860,630,2,1,"1",1929,"2","0","average"
342000,1930,11947,1930,0,3,2,"1",1966,"2","0","good"
442000,1190,5100,1030,160,3,1,"1",1941,"2","0","good"
615000,1540,6872,820,720,2,1,"1",1946,"2","0","good"
3e+05,1100,7680,1100,0,2,1,"1",1950,"2","0","good"
288000,1190,7560,1190,0,3,1,"1",1958,"1","0","excellent"
190000,630,6000,630,0,2,1,"1",1943,"1","0","average"
515000,2530,5105,1520,1010,5,3,"1",2005,"2","0","average"
275000,940,5000,940,0,2,1,"1",1951,"1","0","average"
727500,1240,9119,1240,0,2,2,"1",1952,"2","0","good"
204000,1040,7405,1040,0,3,1,"1",1971,"1","0","good"
595000,1510,4000,1010,500,2,2,"1",1900,"2","0","good"
249000,1360,6082,1360,0,3,2,"1",1994,"2","0","average"
259950,1070,649,720,350,2,2,"2",2008,"2","0","average"
215000,1320,8865,1320,0,2,1,"1",1943,"1","0","good"
1450000,4380,6320,3580,800,3,3,"2",1952,"3","0","excellent"
261000,750,8125,750,0,2,1,"1",1943,"1","0","good"
460000,2230,108900,1410,820,4,3,"1",1978,"2","0","average"
720000,3200,7708,3200,0,4,4,"2",2004,"3","0","average"
3e+05,1220,75794,1220,0,2,1,"1",1963,"2","0","good"
180000,1384,8960,1384,0,3,1,"1",1965,"1","0","good"
515000,3590,8249,3590,0,4,3,"2",1997,"2","0","average"
399950,2420,31465,2420,0,4,2,"1",1984,"2","0","average"
531000,1270,1175,1110,160,2,3,"2",2000,"2","0","average"
443500,940,6804,940,0,2,1,"1",1949,"2","0","average"
223000,1670,6824,1300,370,3,2,"1",1990,"2","0","average"
650000,1870,3388,1230,640,3,2,"1",1925,"2","0","good"
175000,1250,9775,1250,0,3,1,"1",1971,"2","0","average"
210000,1440,7210,1440,0,3,2,"1",1983,"2","0","average"
325000,990,6750,990,0,3,1,"1",1947,"1","0","good"
289500,960,6400,820,140,3,1,"1",1944,"1","0","good"
218000,960,9633,960,0,3,1,"1",1982,"1","0","excellent"
542000,890,3060,770,120,2,1,"1",1910,"2","0","average"
214000,1200,8316,1200,0,3,1,"1",1953,"1","0","good"
314500,2050,13303,2050,0,3,2,"1",1993,"2","0","average"
378000,1300,3850,800,500,2,2,"1",1963,"2","0","average"
157000,870,26326,870,0,1,1,"1",1939,"1","0","average"
220000,1000,6020,1000,0,3,1,"1",1944,"1","0","average"
325000,1920,6862,1120,800,3,1,"1",1952,"2","0","average"
495000,990,6000,990,0,3,1,"1",1943,"1","0","average"
323000,1290,12231,1290,0,3,1,"1",1976,"2","0","average"
280000,1010,3000,1010,0,2,1,"1",1925,"2","0","good"
478500,2090,4755,1200,890,3,1,"1",1969,"2","0","average"
222000,1440,7187,970,470,3,2,"1",1981,"2","0","good"
799000,2580,209523,2580,0,4,3,"2",1984,"2","0","average"
387500,1220,8329,1220,0,3,1,"1",1946,"1","0","average"
396000,1500,12616,1500,0,3,1,"1",1967,"2","0","average"
410000,800,4342,670,130,2,1,"1",1927,"1","0","average"
245000,1410,5760,1410,0,3,2,"1",1985,"2","0","average"
195000,820,5100,820,0,2,1,"1",1953,"1","0","average"
480000,2180,10575,1730,450,4,2,"1",1950,"1","0","average"
485000,1400,3600,1100,300,4,2,"1",1900,"2","0","average"
130000,880,9000,880,0,2,1,"1",1928,"1","0","average"
325000,1060,5703,1060,0,2,1,"1",1946,"1","0","good"
215000,1130,7400,1130,0,4,1,"1",1969,"2","0","good"
267000,1300,9644,1300,0,3,2,"1",1994,"2","0","average"
565000,960,4080,960,0,2,1,"1",1911,"2","0","excellent"
350000,2520,5500,1550,970,5,3,"1",2004,"2","0","average"
245000,1050,5900,1050,0,2,1,"1",1950,"2","0","average"
550000,2380,17950,2110,270,3,2,"2",1934,"2","0","good"
588000,1910,8167,1270,640,3,1,"1",1951,"2","0","good"
233000,1400,9177,1400,0,3,2,"1",1974,"2","0","average"
740000,2100,72745,2100,0,3,2,"1",1995,"2","0","good"
305000,1160,9750,1160,0,3,1,"1",1967,"2","0","average"
395000,1500,4000,900,600,3,1,"1",1925,"1","0","average"
329999,1150,6908,800,350,3,1,"1",1952,"1","0","average"
447000,1370,6001,1230,140,3,1,"1",1944,"2","0","excellent"
330000,1400,218252,1400,0,3,2,"1",1997,"2","0","average"
390000,1200,10800,1200,0,3,1,"1",1955,"2","0","good"
493000,1910,2874,1060,850,4,2,"1",1910,"2","0","average"
305000,1250,23680,1250,0,3,1,"1",1967,"2","0","excellent"
715000,2000,4800,2000,0,4,1,"2",1911,"2","0","good"
5e+05,1280,5400,1280,0,2,1,"1",1964,"2","0","average"
460000,2090,40419,2090,0,4,2,"1",1984,"2","0","good"
210000,750,34133,750,0,2,1,"1",1950,"1","0","average"
429950,1760,7216,1090,670,4,1,"1",1947,"2","0","average"
710000,1740,9000,1740,0,4,2,"1",1958,"2","0","excellent"
361000,1950,8698,1950,0,3,2,"1",1999,"2","0","average"
345000,1250,7210,1250,0,3,1,"1",1964,"2","0","good"
250000,1130,5500,1130,0,2,2,"1",1941,"1","0","good"
246500,1430,8919,1430,0,3,2,"1",1992,"2","0","average"
1100000,3010,5000,1890,1120,3,2,"2",1931,"2","0","excellent"
287500,1810,7200,1130,680,3,1,"1",1954,"2","0","good"
431000,1810,7200,1130,680,3,1,"1",1954,"2","0","good"
226000,970,5000,970,0,3,1,"1",1968,"1","0","average"
320000,1340,5175,940,400,3,1,"1",1987,"2","0","average"
254000,2070,9000,1450,620,3,2,"1",1969,"2","0","good"
287653,1050,16050,1050,0,3,1,"1",1960,"2","0","good"
565000,910,5212,910,0,3,1,"1",1951,"2","0","average"
381156,1320,3090,1320,0,2,1,"1",1908,"2","0","good"
795000,2920,13650,1460,1460,3,2,"1",1975,"2","0","excellent"
147500,1530,8498,1530,0,3,1,"1",1959,"2","0","average"
390000,1910,11576,1410,500,3,2,"1",1978,"2","0","average"
229000,1020,8100,1020,0,3,1,"1",1954,"2","0","average"
185000,1150,8100,1150,0,3,1,"1",1932,"1","0","average"
2e+05,1920,4822,920,1000,4,2,"1",1914,"1","0","average"
340000,1090,6771,1090,0,2,1,"1",1954,"1","0","average"
209000,1230,1340,1020,210,3,2,"2",2003,"2","0","average"
3e+05,1480,6698,1080,400,3,2,"1",1979,"2","0","good"
435000,1400,4800,700,700,3,1,"1",1917,"1","0","good"
205000,1410,8384,1410,0,3,2,"1",1985,"2","0","average"
270000,1000,10320,1000,0,2,1,"1",1943,"1","0","average"
250000,1440,9220,1440,0,3,2,"1",1965,"2","0","average"
390000,2570,262018,1420,1150,4,3,"1",1988,"2","0","average"
288349,1250,18616,1250,0,3,1,"1",1972,"1","0","good"
1200000,3660,22410,1830,1830,3,2,"1",1947,"2","0","good"
299995,1060,7200,1060,0,2,1,"1",1951,"1","0","good"
315000,970,5665,970,0,2,1,"1",1908,"1","0","good"
1321500,2230,12968,2230,0,3,3,"2",1990,"2","0","average"
369950,2430,10720,2430,0,3,1,"1",1977,"2","0","average"
460500,1490,10650,1150,340,3,1,"1",1963,"2","0","average"
550000,2670,5000,2670,0,4,3,"2",1916,"2","0","average"
345500,1350,8581,1350,0,3,1,"1",1944,"1","0","excellent"
650000,2208,5000,2208,0,4,2,"3",1917,"2","0","excellent"
385000,1010,7380,1010,0,3,2,"1",1982,"2","0","average"
425000,970,2970,970,0,2,1,"1",1910,"2","0","average"
196500,1320,9000,1320,0,3,1,"1",1966,"2","0","average"
265000,1070,9000,1070,0,3,1,"1",1950,"2","0","good"
216000,1280,8712,1280,0,3,1,"1",1956,"2","0","good"
427200,1030,8400,1030,0,3,1,"1",1963,"2","0","good"
718000,3070,9804,1740,1330,5,3,"1",1968,"2","0","good"
379000,930,5400,930,0,2,1,"1",1952,"2","0","average"
326100,880,7683,880,0,2,1,"1",1942,"1","0","average"
645000,2780,11583,1190,1590,4,2,"1",1955,"2","0","average"
253000,1490,7651,1490,0,3,2,"1",1988,"2","0","average"
178500,740,6460,740,0,2,1,"1",1953,"1","0","average"
553500,850,2340,850,0,2,1,"1",1922,"2","0","average"
189950,1030,4188,1030,0,2,1,"1",1981,"2","0","average"
289000,1850,9550,1850,0,3,2,"1",1988,"2","0","average"
7e+05,1830,4590,1830,0,4,2,"2",1908,"2","0","average"
270000,1560,8853,1560,0,3,2,"1",1967,"2","0","average"
280300,920,5000,490,430,2,1,"1",1949,"1","0","good"
538200,1780,7260,1780,0,4,3,"1",1964,"2","0","good"
429000,1080,3600,1080,0,2,1,"1",1922,"2","0","average"
164808,1250,5411,1250,0,3,1,"1",1980,"2","0","average"
543115,1380,5484,1030,350,2,1,"1",1947,"2","0","average"
554000,1920,6045,1920,0,2,2,"1",2003,"2","0","average"
980000,3680,5854,2060,1620,4,3,"1",1967,"3","0","average"
218500,1600,8961,1390,210,2,1,"1",1949,"2","0","good"
197500,820,8860,820,0,2,1,"1",1950,"1","0","average"
410000,1700,4250,890,810,3,2,"1",1944,"1","0","average"
379000,1140,10320,1140,0,3,1,"1",1963,"2","0","good"
399950,1020,18050,1020,0,3,1,"1",1969,"2","0","average"
140000,730,6890,730,0,1,1,"1",1926,"1","0","good"
250000,1190,6250,990,200,3,1,"1",1954,"2","0","average"
505000,1240,57000,1240,0,2,1,"1",1962,"2","0","average"
515000,1060,4228,860,200,2,1,"1",1906,"2","0","average"
310000,2010,7426,1090,920,4,3,"1",1951,"2","0","excellent"
356700,1090,5000,730,360,2,1,"1",1942,"2","0","good"
325000,1040,7541,1040,0,3,1,"1",1951,"1","0","average"
825000,1150,12775,1150,0,2,1,"1",1908,"1","1","good"
675000,2690,28300,2690,0,4,3,"1",1954,"2","0","average"
385000,1850,11700,1850,0,4,2,"1",1969,"2","0","good"
241000,1010,9611,1010,0,3,1,"1",1973,"1","0","good"
151000,720,4222,720,0,2,1,"1",1942,"1","0","good"
631000,2270,2400,2270,0,5,2,"2",1905,"2","0","average"
195000,1260,8378,840,420,3,1,"1",1959,"1","0","good"
550000,1810,12825,1810,0,3,2,"1",1960,"2","0","good"
2e+05,1230,4380,1230,0,3,1,"1",1947,"1","0","average"
690000,970,4560,970,0,2,1,"1",1907,"2","0","good"
353000,1350,7740,860,490,3,1,"1",1947,"1","0","good"
239000,940,8571,940,0,3,1,"1",1950,"1","0","average"
170000,1480,5670,780,700,3,1,"1",1944,"1","0","average"
195000,1190,27007,1190,0,2,1,"1",1910,"1","0","good"
269000,1690,4250,1020,670,3,1,"1",1967,"2","0","average"
1278000,4390,17832,2430,1960,4,4,"1",1994,"3","0","good"
4e+05,1130,4100,990,140,3,1,"1",1941,"2","0","average"
225000,1020,8437,1020,0,3,1,"1",1987,"1","0","excellent"
219000,1310,2550,1310,0,2,2,"2",2004,"1","0","average"
625000,2020,6867,1010,1010,4,2,"1",1942,"2","0","excellent"
380000,1680,3240,840,840,5,2,"1",1906,"1","0","average"
225500,1440,7950,1440,0,4,2,"1",1962,"1","0","excellent"
252500,1150,6000,1150,0,3,2,"1",1956,"2","0","excellent"
492000,880,2970,880,0,2,1,"1",1927,"2","0","average"
310000,700,3000,700,0,2,1,"1",1918,"1","0","good"
460000,1520,7500,1180,340,3,3,"1",1967,"2","0","average"
194000,1070,6440,1070,0,3,1,"1",1971,"2","0","good"
274700,2440,9600,1220,1220,4,2,"1",1963,"2","0","excellent"
1150000,4460,103382,4460,0,4,4,"2",2001,"3","0","average"
505000,1500,2500,1500,0,3,2,"2",2002,"2","0","average"
535000,1330,40259,1330,0,3,1,"1",1977,"2","0","good"
423000,1830,13900,1830,0,3,1,"1",1951,"2","0","average"
235000,1170,11100,1170,0,3,1,"1",1968,"1","0","good"
545000,2930,14057,1680,1250,2,2,"1",1980,"2","0","good"
343000,1230,7560,1230,0,2,1,"1",1961,"2","0","average"
220000,1440,8250,1440,0,4,1,"1",1959,"2","0","average"
173000,1740,8100,1050,690,2,1,"1",1947,"1","0","average"
406000,880,3000,880,0,2,1,"1",1924,"1","0","average"
277000,770,8149,770,0,2,1,"1",1948,"1","0","average"
179950,960,10125,960,0,3,1,"1",1952,"2","0","good"
651000,1940,6440,970,970,3,2,"1",1940,"2","0","excellent"
470000,1170,4400,870,300,3,1,"1",1951,"2","0","average"
5e+05,2760,27631,1800,960,4,2,"2",1978,"2","0","good"
1e+05,770,17334,770,0,2,1,"1",1978,"2","0","average"
130000,1110,7520,1110,0,3,1,"1",1960,"2","0","good"
457000,2800,7845,2800,0,4,3,"2",2002,"2","0","average"
208000,990,7420,990,0,3,1,"1",1960,"1","0","excellent"
250275,790,11234,790,0,2,1,"1",1942,"1","0","good"
435000,790,11234,790,0,2,1,"1",1942,"1","0","good"
659000,1980,23625,1980,0,4,2,"2",1938,"2","0","average"
375000,1840,81892,1840,0,2,1,"1",1955,"1","0","average"
317000,1760,11410,1060,700,3,2,"1",1977,"2","0","excellent"
276900,1270,7566,1270,0,3,1,"1",1958,"2","0","good"
399000,2620,7030,1420,1200,5,2,"1",1965,"2","0","average"
363000,920,1201,800,120,2,2,"2",2009,"2","0","average"
831000,2170,4000,1610,560,4,3,"2",1982,"2","0","good"
345000,1250,17380,1250,0,3,1,"1",1970,"2","0","good"
371025,1530,8925,1530,0,3,2,"1",1977,"2","0","average"
355000,960,6250,960,0,2,1,"1",1916,"1","0","average"
270000,1240,14110,1240,0,3,1,"1",1972,"2","0","good"
255000,960,28717,960,0,2,1,"1",1984,"1","0","good"
550000,1130,7500,880,250,3,1,"1",1947,"2","0","average"
420000,1150,5120,800,350,3,1,"1",1946,"1","0","good"
588000,1680,5000,980,700,4,2,"1",1950,"2","0","average"
285000,1900,7194,1900,0,4,3,"2",1988,"2","0","good"
360000,1570,9467,1570,0,3,1,"1",1954,"2","0","average"
275000,1370,17859,1150,220,3,1,"1",1930,"2","0","good"
428000,1350,4225,1350,0,2,2,"1",2003,"2","0","average"
316000,1010,7838,1010,0,3,1,"1",1977,"1","0","good"
533000,1670,4080,1170,500,3,1,"1",1967,"2","0","average"
225000,2220,14120,1200,1020,4,2,"1",1966,"2","0","average"
255000,1180,13650,1180,0,3,1,"1",1967,"2","0","good"
548000,2100,8880,2100,0,4,2,"1",1958,"2","0","good"
432000,1750,12528,1750,0,4,1,"1",1967,"2","0","good"
110000,830,7590,830,0,2,1,"1",1943,"1","0","average"
389000,910,7000,910,0,2,1,"1",1952,"2","0","average"
1200000,2120,3360,2120,0,4,2,"2",1905,"2","0","average"
360000,1970,79714,1070,900,3,2,"1",1979,"2","0","average"
345000,1350,4494,920,430,2,1,"1",1949,"2","0","average"
815000,2310,6000,1560,750,3,2,"2",1926,"2","0","good"
290000,1440,11250,1440,0,3,1,"1",1967,"2","0","average"
260000,1120,5650,1120,0,2,1,"1",1944,"1","0","average"
830000,2920,2808,2140,780,5,3,"2",1960,"2","0","average"
320000,1560,7552,910,650,3,1,"1",1948,"1","0","good"
225000,1700,11475,970,730,3,2,"1",1945,"1","0","excellent"
279200,640,6350,640,0,1,1,"1",1939,"1","0","average"
433500,1230,6000,780,450,3,1,"1",1937,"2","0","good"
381000,1770,14400,1770,0,3,2,"1",1959,"2","0","good"
439000,1050,5671,850,200,2,1,"1",1949,"2","0","average"
325000,1130,5070,1130,0,2,1,"1",1955,"2","0","good"
490000,880,6380,880,0,2,1,"1",1938,"2","0","average"
1062500,5320,20041,5320,0,4,4,"2",2003,"3","0","average"
408000,1200,3900,1200,0,2,2,"1",2006,"2","0","average"
280000,910,4662,910,0,2,1,"1",1942,"1","0","excellent"
241000,1650,6000,1650,0,3,2,"1",1990,"2","0","average"
389000,1280,9630,1280,0,3,1,"1",1968,"2","0","average"
340895,920,8612,920,0,2,1,"1",1947,"2","0","excellent"
914600,3180,80837,3180,0,4,3,"2",1985,"3","0","average"
715000,1760,5400,1160,600,3,2,"1",1927,"2","0","excellent"
265000,760,4000,760,0,2,1,"1",1950,"1","0","good"
2537000,3710,20000,2760,950,4,3,"2",1936,"3","0","excellent"
640000,1530,4944,1530,0,3,1,"1",1950,"2","0","average"
535000,2040,5600,1120,920,3,2,"1",1954,"2","0","excellent"
369500,1200,9194,1200,0,3,1,"1",1952,"2","0","good"
5350000,8000,23985,6720,1280,5,5,"2",2009,"4","0","average"
180000,870,5330,870,0,3,1,"1",1969,"1","0","average"
215000,1010,6000,1010,0,2,1,"1",1944,"1","0","good"
302000,1010,6000,1010,0,2,1,"1",1944,"1","0","good"
235867,1330,5926,1330,0,4,2,"1",1942,"1","0","good"
250000,660,2600,660,0,1,1,"1",1919,"1","0","average"
707500,1500,2555,1500,0,3,1,"2",1910,"2","0","average"
459000,1560,3840,960,600,4,2,"1",1924,"1","0","good"
495000,970,4284,970,0,2,1,"1",1905,"2","0","average"
440000,1050,7500,1050,0,3,1,"1",1900,"1","0","average"
652000,1700,4080,850,850,3,2,"1",1941,"2","0","good"
1328000,3340,10796,2120,1220,5,3,"1",1964,"2","0","average"
519500,1540,17859,1540,0,4,2,"1",1964,"1","0","average"
483000,2440,15540,2440,0,3,3,"2",1992,"2","0","average"
250000,1030,8786,1030,0,2,1,"1",1956,"1","0","average"
420000,820,4025,820,0,2,1,"1",1922,"1","0","excellent"
425000,970,8040,970,0,3,1,"1",1956,"2","0","average"
1218000,3470,4750,2370,1100,4,3,"2",2014,"2","0","average"
206135,1340,11070,1340,0,3,1,"1",1978,"2","0","good"
850000,2280,4600,1250,1030,3,1,"1",1936,"2","0","average"
399000,3060,5000,3060,0,4,3,"2",2001,"2","0","average"
190000,700,9500,700,0,2,1,"1",1951,"1","0","average"
5e+05,1720,5525,960,760,3,2,"1",1941,"2","0","excellent"
337000,1690,9087,1690,0,3,2,"1",1997,"2","0","average"
170000,970,8710,970,0,3,1,"1",1962,"1","0","good"
391000,1490,9000,1490,0,3,2,"1",1977,"2","0","good"
375000,1230,1820,830,400,2,1,"2",1948,"2","0","good"
150000,1100,7200,1100,0,2,1,"1",1944,"1","0","good"
355000,2590,7213,2590,0,4,3,"2",2001,"2","0","average"
245000,1450,9333,1450,0,3,2,"2",1972,"2","0","good"
265900,1180,7793,1180,0,3,2,"1",1992,"2","0","good"
343000,1120,7250,1120,0,3,1,"1",1972,"2","0","good"
610000,2480,45302,1620,860,3,3,"1",1976,"2","0","good"
610000,1800,5750,1040,760,3,1,"1",1947,"2","0","average"
199990,1100,8560,1100,0,3,1,"1",1961,"1","0","average"
539950,3100,5250,3100,0,5,3,"2",2006,"2","0","average"
140000,1060,7473,1060,0,3,1,"1",1959,"2","0","average"
235000,1060,7473,1060,0,3,1,"1",1959,"2","0","average"
380000,1210,4800,1060,150,2,1,"1",1950,"2","0","average"
352000,1530,8890,980,550,4,1,"1",1925,"2","0","average"
1175000,2590,7220,2590,0,4,2,"2",1930,"3","0","good"
443500,1920,7598,1920,0,3,2,"1",1972,"2","0","good"
332000,1150,8138,1150,0,2,1,"1",1954,"2","0","average"
